1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)
4.2.1.148	Beta-methylmalyl-CoA dehydratase (EC 4.2.1.148) (2-methylfumaryl-CoA hydratase) (Mesaconyl-CoA hydratase)
4.2.1.153	Mesaconyl-C(4)-CoA hydratase (EC 4.2.1.153) (3-methylfumaryl-CoA hydratase)
4.1.3.46	(R)-citramalyl-CoA lyase (EC 4.1.3.46)
4.1.99.5	Aldehyde decarbonylase (AD) (EC 4.1.99.5) (Fatty aldehyde decarbonylase)
4.2.3.90	Germacrene A synthase (EC 4.2.3.90) (5-epi-alpha-selinene synthase) (8a-epi-alpha-selinene synthase) (Terpene synthase)
4.3.1.24	Phenylalanine ammonia-lyase (EC 4.3.1.24)
4.2.1.6	D-galactonate dehydratase (GalD) (EC 4.2.1.6)
4.2.3.97	(-)-delta-cadinene synthase (EC 4.2.3.97)
4.2.3.98	(+)-T-muurolol synthase (EC 4.2.3.98)
4.2.1.53	Oleate hydratase (EC 4.2.1.53) (Fatty acid double bond hydratase) (Fatty acid hydratase) (Linoleate hydratase) (Myosin cross-reactive antigen) (MCRA)
4.1.3.34	Ccl citryl-CoA lyase
4.1.1.61	Phenolic acid decarboxylase subunit D (PAD) (EC 4.1.1.-) (4-hydroxybenzoate decarboxylase subunit D) (4-hydroxybenzoate DC) (EC 4.1.1.61) (Phenylacrylic acid decarboxylase subunit D) (Vanillate decarboxylase subunit D)
4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (Keto-3-deoxygluconate 6-phosphate aldolase) (KDGP aldolase)
4.3.1.29	D-glucosaminate-6-phosphate ammonia lyase (EC 4.3.1.29) (Glucosaminate-6-phosphate dehydratase)
4.2.1.39	D-galactonate dehydratase family member RspA (EC 4.2.1.-) (D-gluconate dehydratase) (EC 4.2.1.39) (Starvation sensing protein RspA homolog)
4.1.1.20	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)
4.2.1.115	"UDP-N-acetylglucosamine 4,6-dehydratase (inverting) (EC 4.2.1.115) (Pseudaminic acid biosynthesis protein B) (UDP-GlcNAc-inverting 4,6-dehydratase)"
4.2.1.28	Propanediol dehydratase medium subunit (EC 4.2.1.28) (Propanediol utilization protein PduD)
4.2.2.23	Rhamnogalacturonan endolyase YesW (EC 4.2.2.23)
4.4.1.8	Cystathionine beta-lyase MetC (CBL) (EC 4.4.1.8) (Beta-cystathionase) (Cysteine lyase)
4.2.1.109	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)
4.3.99.3	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)
4.2.1.11	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
4.2.1.113	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)
4.2.3.130	Tetraprenyl-beta-curcumene synthase (EC 4.2.3.130)
4.1.1.2	Oxalate decarboxylase OxdC (EC 4.1.1.2)
4.2.1.144	3-amino-5-hydroxybenzoate synthase (AHBA synthase) (EC 4.2.1.144) (Putative UDP-kanosamine synthase aminotransferase subunit) (EC 2.6.1.-)
4.2.1.10	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)
4.1.2.4	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)
4.1.1.50	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]
4.1.1.37	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)
4.1.1.39	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
4.2.1.104	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)
4.1.1.31	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)
4.1.3.27	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)
4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)
4.2.3.1	Threonine synthase (TS) (EC 4.2.3.1)
4.3.1.19	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)
4.2.1.2	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Iron-independent fumarase)
4.1.1.1	Pyruvate decarboxylase (PDC) (EC 4.1.1.1)
4.1.1.23	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)
4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)
4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase)
4.2.3.3	Methylglyoxal synthase (MGS) (EC 4.2.3.3)
4.1.99.12	"3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)"
4.1.99.1	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)
4.1.3.1	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)
4.1.1.18	"Lysine decarboxylase, inducible (LDC) (EC 4.1.1.18)"
4.1.2.13	"Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)"
4.1.2.40	"D-tagatose-1,6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)"
4.2.99.18	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)
4.1.2.17	L-fuculose phosphate aldolase (EC 4.1.2.17) (L-fuculose-1-phosphate aldolase)
4.3.2.2	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)
4.2.1.1	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)
4.1.2.25	"Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin 2'-epimerase) (7,8-dihydroneopterin aldolase) (7,8-dihydroneopterin epimerase) (EC 5.1.99.-) (Dihydroneopterin epimerase)"
4.3.1.1	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)
4.4.1.5	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)
4.2.1.47	"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)"
4.2.1.24	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)
4.1.1.47	Glyoxylate carboligase (EC 4.1.1.47) (Tartronate-semialdehyde synthase)
4.2.1.40	Glucarate dehydratase (GDH) (GlucD) (EC 4.2.1.40)
4.1.1.8	Oxalyl-CoA decarboxylase (EC 4.1.1.8)
4.2.2.2	Pectate lyase L (EC 4.2.2.2) (Pectate transeliminase) (Pel9A)
4.3.2.1	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)
4.2.3.5	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (EPSP phospholyase)
4.7.1.1	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (PRPn C-P lyase) (EC 4.7.1.1)
4.2.1.131	"Acyclic carotenoid 1,2-hydratase (EC 4.2.1.131) (Hydroxyneurosporene synthase) (Lycopene hydratase) (Neurosporene hydratase)"
4.1.2.20	5-keto-4-deoxy-D-glucarate aldolase (KDGluc aldolase) (KDGlucA) (EC 4.1.2.20) (2-dehydro-3-deoxy-D-glucarate aldolase) (2-keto-3-deoxy-D-glucarate aldolase) (5-dehydro-4-deoxy-D-glucarate aldolase) (Alpha-keto-beta-deoxy-D-glucarate aldolase)
4.2.1.3	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)
4.2.1.45	"CDP-glucose 4,6-dehydratase (EC 4.2.1.45)"
4.1.3.38	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)
4.1.1.19	Biodegradative arginine decarboxylase (ADC) (EC 4.1.1.19)
4.1.99.19	2-iminoacetate synthase (EC 4.1.99.19) (Dehydroglycine synthase) (Tyrosine lyase)
4.2.1.149	Carnitinyl-CoA dehydratase (EC 4.2.1.149) (Crotonobetainyl-CoA hydratase)
4.2.1.130	Molecular chaperone Hsp31 and glyoxalase 3 (EC 4.2.1.130) (Aminopeptidase HchA) (EC 3.4.11.-) (D-lactate dehydratase) (Glyoxalase III) (Holdase) (Holding molecular chaperone)
4.1.2.57	Sulfofructosephosphate aldolase (SFP aldolase) (EC 4.1.2.57)
4.1.2.19	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)
4.99.1.1	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)
4.2.1.70	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70)
4.6.1.13	1-phosphatidylinositol phosphodiesterase (EC 4.6.1.13) (Phosphatidylinositol diacylglycerol-lyase) (Phosphatidylinositol-specific phospholipase C) (PI-PLC)
4.2.99.20	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)"
4.3.3.6	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1) (Superoxide-inducible protein 7) (SOI7)
4.1.1.85	3-keto-L-gulonate-6-phosphate decarboxylase SgbH (KGPDC) (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase)
4.1.99.14	Spore photoproduct lyase (EC 4.1.99.14)
4.2.1.42	D-galactarate dehydratase (GalcD) (EC 4.2.1.42)
4.1.1.87	Polyketide biosynthesis malonyl-ACP decarboxylase PksF (EC 4.1.1.87) (Malonyl acyl-carrier-protein decarboxylase)
4.3.1.15	"Diaminopropionate ammonia-lyase (DAPAL) (EC 4.3.1.15) (2,3-diaminopropionate ammonia-lyase) (Alpha,beta-diaminopropionate ammonia-lyase) (Diaminopropionatase)"
4.2.1.44	Inosose dehydratase (EC 4.2.1.44) (2-keto-myo-inositol dehydratase) (2KMI dehydratase)
4.1.2.29	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase (DKGP aldolase) (EC 4.1.2.29)
4.2.1.7	Altronate dehydratase (EC 4.2.1.7) (D-altronate hydro-lyase)
4.4.1.21	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)
4.1.3.39	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)
4.1.1.41	Methylmalonyl-CoA decarboxylase (MMCD) (EC 4.1.1.41) (Transcarboxylase)
4.2.1.150	Short-chain-enoyl-CoA hydratase (EC 4.2.1.150) (3-hydroxybutyryl-CoA dehydratase) (Crotonase)
4.2.3.4	3-dehydroquinate synthase (EC 4.2.3.4)
4.1.3.3	N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)
4.6.1.12	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)"
4.2.1.96	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)
4.1.2.50	"6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)"
4.1.99.18	Cyclic pyranopterin monophosphate synthase (EC 4.1.99.18) (Molybdenum cofactor biosynthesis protein A)
4.2.1.17	"2,3-dehydroadipyl-CoA hydratase (EC 4.2.1.17) (Enoyl-CoA hydratase)"
4.4.1.15	D-cysteine desulfhydrase (EC 4.4.1.15)
4.1.2.53	2-keto-3-deoxy-L-rhamnonate aldolase (KDR aldolase) (EC 4.1.2.53) (2-dehydro-3-deoxyrhamnonate aldolase) (2-keto-3-deoxy acid sugar aldolase)
4.2.1.126	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)
4.2.1.90	L-rhamnonate dehydratase (RhamD) (EC 4.2.1.90)
4.1.3.30	"2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)"
4.2.1.80	2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase)
4.3.2.3	Ureidoglycolate lyase (EC 4.3.2.3) (Ureidoglycolatase) (Ureidoglycolate hydrolase)
4.1.1.81	Threonine-phosphate decarboxylase (EC 4.1.1.81) (L-threonine-O-3-phosphate decarboxylase)
4.1.1.48	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)
4.1.3.40	Chorismate pyruvate-lyase (EC 4.1.3.40) (4-HB synthase) (p-hydroxybenzoic acid synthase)
4.1.1.32	Phosphoenolpyruvate carboxykinase [GTP] (PEP carboxykinase) (PEPCK) (EC 4.1.1.32) (GTP-dependent phosphoenolpyruvate carboxykinase) (GTP-PEPCK)
4.6.1.1	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)
4.1.1.70	Glutaconyl-CoA decarboxylase subunit alpha (EC 4.1.1.70) (Carboxyltransferase)
4.2.1.135	"UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase (UDP-GlcNAc C6 dehydratase) (EC 4.2.1.135) (Protein glycosylation pathway protein F) (UDP-N-acetylglucosamine 4,6-dehydratase (configuration-retaining))"
4.4.1.24	(2R)-sulfolactate sulfo-lyase subunit beta (EC 4.4.1.24) (Sulfolactate sulfo-lyase B)
4.2.1.119	"(R)-specific enoyl-CoA hydratase (EC 4.2.1.119) ((R)-specific trans-2,3-enoylacyl-CoA hydratase)"
4.3.1.2	Methylaspartate ammonia-lyase 1 (MAL) (EC 4.3.1.2) (3-methylaspartate ammonia-lyase 1) (Beta-methylaspartase 1)
4.3.1.23	Tyrosine ammonia-lyase (EC 4.3.1.23)
4.2.2.1	Hyaluronate lyase (EC 4.2.2.1) (Hyaluronidase) (HYase)
4.2.2.5	Chondroitinase-AC (EC 4.2.2.5) (Chondroitin sulfate AC lyase) (Chondroitin-AC eliminase) (Chondroitin-AC lyase)
4.2.2.8	Heparin-sulfate lyase (EC 4.2.2.8) (Heparin-sulfate eliminase) (Heparinase III) (HepIII) (Heparitin-sulfate lyase)
4.4.1.25	L-cysteate sulfo-lyase (EC 4.4.1.25)
4.2.1.155	Methylthioacryloyl-CoA hydratase (EC 4.2.1.155)
4.2.1.151	Chorismate dehydratase (EC 4.2.1.151) (Menaquinone biosynthetic enzyme MqnA)
4.1.2.21	2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21) (2-oxo-3-deoxygalactonate 6-phosphate aldolase) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (6-phospho-2-keto-3-deoxygalactonate aldolase) (KDPGal)
4.2.1.137	Sporulenol synthase (EC 4.2.1.137) (Tetraprenyl-beta-curcumene cyclase)
4.2.1.118	3-dehydroshikimate dehydratase (3-DHS dehydratase) (DHSase) (EC 4.2.1.118) (Petrobactin biosynthesis protein AsbF)
4.2.3.7	Pentalenene synthase (PS) (EC 4.2.3.7) (Pentalenolactone biosynthesis protein A) (Sesquiterpene cyclase) (Sesquiterpene synthase)
4.2.3.96	Avermitilol synthase (EC 4.2.3.96)
4.2.1.83	4-oxalmesaconate hydratase (OMA hydratase) (EC 4.2.1.83) (Gallate degradation protein B)
4.1.3.17	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase (CHA aldolase) (EC 4.1.3.17) (Gallate degradation protein C)
4.2.1.81	D(-)-tartrate dehydratase (EC 4.2.1.81)
4.2.2.21	Chondroitin sulfate ABC exolyase (EC 4.2.2.21) (Chondroitin ABC exoeliminase) (Chondroitin ABC lyase II) (Chondroitin sulfate ABC lyase II) (ChS ABC lyase II) (Chondroitinase ABC II) (cABC II) (Exochondroitinase ABC)
4.2.1.68	L-fuconate dehydratase (FucD) (EC 4.2.1.68)
4.3.1.14	3-aminobutyryl-CoA ammonia lyase (3-aminobutyryl-CoA deaminase) (EC 4.3.1.14)
4.1.99.17	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)
4.2.3.118	2-methylisoborneol synthase (2-MIB synthase) (EC 4.2.3.118)
4.2.1.147	"5,6,7,8-tetrahydromethanopterin hydro-lyase (EC 4.2.1.147) (Formaldehyde-activating enzyme) (Fae)"
4.1.1.3	Oxaloacetate decarboxylase (EC 4.1.1.3)
4.2.3.37	Epi-isozizaene synthase (EIZS) (EC 4.2.3.37) (Sesquiterpene cyclase) (Sesquiterpene synthase)
4.2.2.22	Pectate trisaccharide-lyase (EC 4.2.2.22) (Pectate lyase A) (PelA)
4.2.1.36	Homoaconitase small subunit (HACN) (EC 4.2.1.36) (Homoaconitate hydratase)
5.1.3.13	"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase) (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase) (dTDP-L-rhamnose synthase)"
5.4.99.5	Secreted chorismate mutase (CM) (EC 5.4.99.5)
5.1.3.2	UDP-glucose 4-epimerase (EC 5.1.3.2) (UDP-galactose 4-epimerase) (Uridine diphosphate galactose 4-epimerase)
5.1.1.8	4-hydroxyproline 2-epimerase (4Hyp 2-epimerase) (4HypE) (EC 5.1.1.8)
5.4.1.3	2-methylfumaryl-CoA isomerase (EC 5.4.1.3)
5.1.3.11	Cellobiose 2-epimerase (CE) (EC 5.1.3.11)
5.4.2.11	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)"
5.4.3.4	"D-lysine 5,6-aminomutase beta subunit (5,6-LAM) (EC 5.4.3.4)"
5.4.3.5	"D-ornithine 4,5-aminomutase subunit beta (EC 5.4.3.5) (D-ornithine aminomutase E component) (OAM-E)"
5.1.3.23	"UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase (UDP-alpha-D-GlcNAc3NAcA 2-epimerase) (EC 5.1.3.23) (UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronic acid 2-epimerase)"
5.5.1.25	"3,6-anhydro-alpha-L-galactonate cycloisomerase (AHGA cycloisomerase) (EC 5.5.1.25)"
5.1.1.13	Aspartate racemase (EC 5.1.1.13) (Rac(fm))
5.3.1.8	Probable mannose-6-phosphate isomerase GmuF (EC 5.3.1.8) (Glucomannan utilization protein F) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)
5.4.2.6	Beta-phosphoglucomutase (Beta-PGM) (EC 5.4.2.6)
5.3.1.23	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)
5.3.2.5	"2,3-diketo-5-methylthiopentyl-1-phosphate enolase (DK-MTP-1-P enolase) (EC 5.3.2.5) (RuBisCO-like protein) (RLP)"
5.1.1.20	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)
5.4.3.2	"L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.2) (KAM)"
5.5.1.16	Type B diterpene cyclase (EC 5.5.1.16)
5.2.1.8	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (PPIase) (EC 5.2.1.8) (Metallochaperone SlyD)
5.4.99.62	D-ribose pyranase (EC 5.4.99.62)
5.5.1.7	Chloromuconate cycloisomerase (EC 5.5.1.7) (Muconate cycloisomerase II)
5.99.1.3	DNA gyrase subunit A (EC 5.99.1.3)
5.1.1.1	"Alanine racemase, catabolic (EC 5.1.1.1)"
5.99.1.2	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)
5.4.99.12	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (PSU-I) (tRNA-uridine isomerase I)
5.1.3.4	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4) (Phosphoribulose isomerase)
5.1.1.7	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7)
5.3.1.9	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
5.3.1.6	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)
5.3.1.1	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)
5.4.99.26	tRNA pseudouridine synthase C (EC 5.4.99.26) (tRNA pseudouridine(65) synthase) (tRNA pseudouridylate synthase C) (tRNA-uridine isomerase C)
5.4.99.19	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)
5.4.4.2	Isochorismate synthase EntC (EC 5.4.4.2) (Isochorismate mutase)
5.1.3.29	L-fucose mutarotase (EC 5.1.3.29) (Fucose 1-epimerase) (Type-2 mutarotase)
5.1.3.1	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)
5.4.99.18	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)
5.3.1.5	Xylose isomerase (EC 5.3.1.5)
5.3.1.13	Arabinose 5-phosphate isomerase GutQ (API) (G-API) (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase)
5.4.2.2	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Alpha-phosphoglucomutase) (Glucose phosphomutase)
5.1.1.3	Glutamate racemase (EC 5.1.1.3)
5.4.3.8	"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)"
5.3.99.10	Thiazole tautomerase (EC 5.3.99.10)
5.4.2.10	Phosphoglucosamine mutase (EC 5.4.2.10)
5.4.99.2	Methylmalonyl-CoA mutase (MCM) (EC 5.4.99.2)
5.1.3.14	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (Bacteriophage N4 adsorption protein C) (UDP-GlcNAc-2-epimerase)
5.3.1.22	Hydroxypyruvate isomerase (EC 5.3.1.22) (Glyoxylate-induced protein)
5.3.1.31	Sulfoquinovose isomerase (SQ isomerase) (EC 5.3.1.31)
5.1.3.32	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)
5.3.1.14	L-rhamnose isomerase (EC 5.3.1.14)
5.4.99.21	Ribosomal large subunit pseudouridine synthase F (EC 5.4.99.21) (23S rRNA pseudouridine(2604) synthase) (rRNA pseudouridylate synthase F) (rRNA-uridine isomerase F)
5.4.99.23	Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23) (23S rRNA pseudouridine(1911/1915/1917) synthase) (rRNA pseudouridylate synthase D) (rRNA-uridine isomerase D)
5.4.2.12	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)"
5.4.99.9	UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase)
5.4.99.22	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)
5.1.3.22	L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22) (L-ascorbate utilization protein E) (L-xylulose-5-phosphate 3-epimerase)
5.1.3.24	N-acetylneuraminate epimerase (EC 5.1.3.24) (N-acetylneuraminate mutarotase) (Neu5Ac mutarotase) (Sialic acid epimerase)
5.3.1.30	5-deoxy-glucuronate isomerase (5DG isomerase) (EC 5.3.1.30)
5.3.99.11	Inosose isomerase (EC 5.3.99.11) (2-keto-myo-inositol isomerase) (2KMI isomerase)
5.4.99.25	tRNA pseudouridine synthase B (EC 5.4.99.25) (Protein p35) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)
5.3.1.28	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)
5.1.3.20	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)
5.3.2.6	"2-hydroxymuconate tautomerase (EC 5.3.2.6) ((2Z,4E)-2-hydroxyhexa-2,4-dienedioate keto-enol isomerase) (4-oxalocrotonate tautomerase) (4-OT)"
5.4.99.20	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.20) (rRNA pseudouridylate synthase E) (rRNA-uridine isomerase E)
5.3.3.18	"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)"
5.1.1.5	Lysine racemase (EC 5.1.1.5)
5.4.3.9	"Glutamate 2,3-aminomutase (EC 5.4.3.9)"
5.1.3.25	dTDP-L-rhamnose 4-epimerase (EC 5.1.3.25)
5.3.3.2	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)
5.3.1.17	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17) (5-keto-4-deoxyuronate isomerase) (DKI isomerase)
5.4.4.3	3-hydroxylaminophenol mutase (3HAP mutase) (EC 5.4.4.3) (3-(hydroxyamino)phenol mutase)
5.3.1.24	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)
